x,y,Analytical solution,Numerical solution
-0.99,0.49,0.015122,0.0150086
-0.99,0.5,0.014925,0.0148133
-0.99,0.51,0.014724,0.0146141
-0.99,0.52,0.014519,0.0144109
-0.99,0.53,0.0143101,0.0142038
-0.99,0.54,0.0140972,0.0139928
-0.99,0.55,0.0138803,0.0137777
-0.99,0.56,0.0136594,0.0135587
-0.99,0.57,0.0134345,0.0133358
-0.99,0.58,0.0132056,0.0131089
-0.99,0.59,0.0129728,0.0128781
-0.99,0.6,0.012736,0.0126433
-0.99,0.61,0.0124952,0.0124045
-0.99,0.62,0.0122504,0.0121618
-0.99,0.63,0.0120017,0.0119151
-0.99,0.64,0.011749,0.0116645
-0.99,0.65,0.0114923,0.0114099
-0.99,0.66,0.0112316,0.0111513
-0.99,0.67,0.0109669,0.0108888
-0.99,0.68,0.0106982,0.0106223
-0.99,0.69,0.0104256,0.0103519
-0.99,0.7,0.010149,0.0100775
-0.99,0.71,0.00986841,0.0097991
-0.99,0.72,0.00958384,0.00951677
-0.99,0.73,0.00929529,0.00923047
-0.99,0.74,0.00900276,0.00894021
-0.99,0.75,0.00870625,0.00864599
-0.99,0.76,0.00840576,0.0083478
-0.99,0.77,0.00810129,0.00804564
-0.99,0.78,0.00779284,0.00773952
-0.99,0.79,0.00748041,0.00742943
-0.99,0.8,0.007164,0.00711537
-0.99,0.81,0.00684361,0.00679734
-0.99,0.82,0.00651924,0.00647534
-0.99,0.83,0.00619089,0.00614938
-0.99,0.84,0.00585856,0.00581944
-0.99,0.85,0.00552225,0.00548553
-0.99,0.86,0.00518196,0.00514765
-0.99,0.87,0.00483769,0.0048058
-0.99,0.88,0.00448944,0.00445998
-0.99,0.89,0.00413721,0.00411018
-0.99,0.9,0.003781,0.00375641
-0.99,0.91,0.00342081,0.00339867
-0.99,0.92,0.00305664,0.00303694
-0.99,0.93,0.00268849,0.00267125
-0.99,0.94,0.00231636,0.00230158
-0.99,0.95,0.00194025,0.00192793
-0.99,0.96,0.00156016,0.0015503
-0.99,0.97,0.00117609,0.00116869
-0.99,0.98,0.00078804,0.000783108
-0.99,0.99,0.00039601,0.000393544
-0.98,-0.99,0.00078804,0.000782987
-0.98,-0.98,0.00156816,0.00155806
-0.98,-0.97,0.00234036,0.00232521
-0.98,-0.96,0.00310464,0.00308445
-0.98,-0.95,0.003861,0.00383577
-0.98,-0.94,0.00460944,0.00457918
-0.98,-0.93,0.00534996,0.00531469
-0.98,-0.92,0.00608256,0.00604228
-0.98,-0.91,0.00680724,0.00676196
-0.98,-0.9,0.007524,0.00747373
-0.98,-0.89,0.00823284,0.0081776
-0.98,-0.88,0.00893376,0.00887356
-0.98,-0.87,0.00962676,0.00956162
-0.98,-0.86,0.0103118,0.0102418
-0.98,-0.85,0.010989,0.010914
-0.98,-0.84,0.0116582,0.0115784
-0.98,-0.83,0.0123196,0.0122348
-0.98,-0.82,0.012973,0.0128834
-0.98,-0.81,0.0136184,0.0135241
-0.98,-0.8,0.014256,0.0141568
-0.98,-0.79,0.0148856,0.0147817
-0.98,-0.78,0.0155074,0.0153987
-0.98,-0.77,0.0161212,0.0160078
-0.98,-0.76,0.016727,0.016609
-0.98,-0.75,0.017325,0.0172023
-0.98,-0.74,0.017915,0.0177877
-0.98,-0.73,0.0184972,0.0183652
-0.98,-0.72,0.0190714,0.0189348
-0.98,-0.71,0.0196376,0.0194966
-0.98,-0.7,0.020196,0.0200505
-0.98,-0.69,0.0207464,0.0205965
-0.98,-0.68,0.021289,0.0211346
-0.98,-0.67,0.0218236,0.0216648
-0.98,-0.66,0.0223502,0.0221871
-0.98,-0.65,0.022869,0.0227016
-0.98,-0.64,0.0233798,0.0232082
-0.98,-0.63,0.0238828,0.0237069
-0.98,-0.62,0.0243778,0.0241978
-0.98,-0.61,0.0248648,0.0246807
-0.98,-0.6,0.025344,0.0251558
-0.98,-0.59,0.0258152,0.025623
-0.98,-0.58,0.0262786,0.0260824
-0.98,-0.57,0.026734,0.0265339
-0.98,-0.56,0.0271814,0.0269775
-0.98,-0.55,0.027621,0.0274132
-0.98,-0.54,0.0280526,0.0278411
-0.98,-0.53,0.0284764,0.0282611
-0.98,-0.52,0.0288922,0.0286732
-0.98,-0.51,0.0293,0.0290775
-0.98,-0.5,0.0297,0.0294739
-0.98,-0.49,0.030092,0.0298624
-0.98,-0.48,0.0304762,0.0302431
-0.98,-0.47,0.0308524,0.0306159
-0.98,-0.46,0.0312206,0.0309809
-0.98,-0.45,0.031581,0.031338
-0.98,-0.44,0.0319334,0.0316872
-0.98,-0.43,0.032278,0.0320286
-0.98,-0.42,0.0326146,0.0323622
-0.98,-0.41,0.0329432,0.0326878
-0.98,-0.4,0.033264,0.0330056
-0.98,-0.39,0.0335768,0.0333156
-0.98,-0.38,0.0338818,0.0336177
-0.98,-0.37,0.0341788,0.0339119
-0.98,-0.36,0.0344678,0.0341983
-0.98,-0.35,0.034749,0.0344769
-0.98,-0.34,0.0350222,0.0347476
-0.98,-0.33,0.0352876,0.0350104
-0.98,-0.32,0.035545,0.0352654
-0.98,-0.31,0.0357944,0.0355125
-0.98,-0.3,0.036036,0.0357518
-0.98,-0.29,0.0362696,0.0359832
-0.98,-0.28,0.0364954,0.0362068
-0.98,-0.27,0.0367132,0.0364226
-0.98,-0.26,0.036923,0.0366304
-0.98,-0.25,0.037125,0.0368305
-0.98,-0.24,0.037319,0.0370227
-0.98,-0.23,0.0375052,0.037207
-0.98,-0.22,0.0376834,0.0373835
-0.98,-0.21,0.0378536,0.0375522
-0.98,-0.2,0.038016,0.037713
-0.98,-0.19,0.0381704,0.037866
-0.98,-0.18,0.038317,0.0380111
-0.98,-0.17,0.0384556,0.0381484
-0.98,-0.16,0.0385862,0.0382778
-0.98,-0.15,0.038709,0.0383994
-0.98,-0.14,0.0388238,0.0385132
-0.98,-0.13,0.0389308,0.0386191
-0.98,-0.12,0.0390298,0.0387171
-0.98,-0.11,0.0391208,0.0388074
-0.98,-0.1,0.039204,0.0388897
-0.98,-0.09,0.0392792,0.0389643
-0.98,-0.08,0.0393466,0.039031
-0.98,-0.07,0.039406,0.0390898
-0.98,-0.06,0.0394574,0.0391408
-0.98,-0.05,0.039501,0.039184
-0.98,-0.04,0.0395366,0.0392193
-0.98,-0.03,0.0395644,0.0392468
-0.98,-0.02,0.0395842,0.0392664
-0.98,-0.01,0.039596,0.0392782
-0.98,0,0.0396,0.0392822
-0.98,0.01,0.039596,0.0392783
-0.98,0.02,0.0395842,0.0392666
-0.98,0.03,0.0395644,0.039247
-0.98,0.04,0.0395366,0.0392196
-0.98,0.05,0.039501,0.0391844
-0.98,0.06,0.0394574,0.0391413
-0.98,0.07,0.039406,0.0390904
-0.98,0.08,0.0393466,0.0390316
-0.98,0.09,0.0392792,0.038965
-0.98,0.1,0.039204,0.0388905
-0.98,0.11,0.0391208,0.0388082
-0.98,0.12,0.0390298,0.0387181
-0.98,0.13,0.0389308,0.0386201
-0.98,0.14,0.0388238,0.0385142
-0.98,0.15,0.038709,0.0384006
-0.98,0.16,0.0385862,0.038279
-0.98,0.17,0.0384556,0.0381497
-0.98,0.18,0.038317,0.0380125
-0.98,0.19,0.0381704,0.0378674
-0.98,0.2,0.038016,0.0377145
-0.98,0.21,0.0378536,0.0375538
-0.98,0.22,0.0376834,0.0373852
-0.98,0.23,0.0375052,0.0372087
-0.98,0.24,0.037319,0.0370244
-0.98,0.25,0.037125,0.0368323
-0.98,0.26,0.036923,0.0366323
-0.98,0.27,0.0367132,0.0364245
-0.98,0.28,0.0364954,0.0362088
-0.98,0.29,0.0362696,0.0359853
-0.98,0.3,0.036036,0.0357539
-0.98,0.31,0.0357944,0.0355147
-0.98,0.32,0.035545,0.0352676
-0.98,0.33,0.0352876,0.0350126
-0.98,0.34,0.0350222,0.0347498
-0.98,0.35,0.034749,0.0344792
-0.98,0.36,0.0344678,0.0342007
-0.98,0.37,0.0341788,0.0339144
-0.98,0.38,0.0338818,0.0336201
-0.98,0.39,0.0335768,0.0333181
-0.98,0.4,0.033264,0.0330082
-0.98,0.41,0.0329432,0.0326904
-0.98,0.42,0.0326146,0.0323647
-0.98,0.43,0.032278,0.0320313
-0.98,0.44,0.0319334,0.0316899
-0.98,0.45,0.031581,0.0313407
-0.98,0.46,0.0312206,0.0309836
-0.98,0.47,0.0308524,0.0306187
-0.98,0.48,0.0304762,0.0302459
-0.98,0.49,0.030092,0.0298652
-0.98,0.5,0.0297,0.0294767
-0.98,0.51,0.0293,0.0290803
-0.98,0.52,0.0288922,0.028676
-0.98,0.53,0.0284764,0.0282639
-0.98,0.54,0.0280526,0.0278439
-0.98,0.55,0.027621,0.027416
-0.98,0.56,0.0271814,0.0269803
-0.98,0.57,0.026734,0.0265367
-0.98,0.58,0.0262786,0.0260852
-0.98,0.59,0.0258152,0.0256258
-0.98,0.6,0.025344,0.0251586
-0.98,0.61,0.0248648,0.0246835
-0.98,0.62,0.0243778,0.0242005
-0.98,0.63,0.0238828,0.0237096
-0.98,0.64,0.0233798,0.0232109
-0.98,0.65,0.022869,0.0227043
-0.98,0.66,0.0223502,0.0221898
-0.98,0.67,0.0218236,0.0216674
-0.98,0.68,0.021289,0.0211371
-0.98,0.69,0.0207464,0.020599
-0.98,0.7,0.020196,0.020053
-0.98,0.71,0.0196376,0.019499
-0.98,0.72,0.0190714,0.0189372
-0.98,0.73,0.0184972,0.0183676
-0.98,0.74,0.017915,0.01779
-0.98,0.75,0.017325,0.0172045
-0.98,0.76,0.016727,0.0166111
-0.98,0.77,0.0161212,0.0160099
-0.98,0.78,0.0155074,0.0154007
-0.98,0.79,0.0148856,0.0147837
-0.98,0.8,0.014256,0.0141588
-0.98,0.81,0.0136184,0.0135259
-0.98,0.82,0.012973,0.0128852
-0.98,0.83,0.0123196,0.0122366
-0.98,0.84,0.0116582,0.01158
-0.98,0.85,0.010989,0.0109156
-0.98,0.86,0.0103118,0.0102432
-0.98,0.87,0.00962676,0.009563
-0.98,0.88,0.00893376,0.00887485
-0.98,0.89,0.00823284,0.0081788
-0.98,0.9,0.007524,0.00747483
-0.98,0.91,0.00680724,0.00676296
-0.98,0.92,0.00608256,0.00604318
-0.98,0.93,0.00534996,0.00531548
-0.98,0.94,0.00460944,0.00457988
-0.98,0.95,0.003861,0.00383636
-0.98,0.96,0.00310464,0.00308492
-0.98,0.97,0.00234036,0.00232557
-0.98,0.98,0.00156816,0.0015583
-0.98,0.99,0.00078804,0.000783109
-0.97,-0.99,0.00117609,0.00116851
-0.97,-0.98,0.00234036,0.00232521
-0.97,-0.97,0.00349281,0.00347009
-0.97,-0.96,0.00463344,0.00460316
-0.97,-0.95,0.00576225,0.00572442
-0.97,-0.94,0.00687924,0.00683387
-0.97,-0.93,0.00798441,0.00793151
-0.97,-0.92,0.00907776,0.00901735
-0.97,-0.91,0.0101593,0.0100914
-0.97,-0.9,0.011229,0.0111536
-0.97,-0.89,0.0122869,0.0122041
-0.97,-0.88,0.013333,0.0132427
-0.97,-0.87,0.0143672,0.0142695
-0.97,-0.86,0.0153896,0.0152846
-0.97,-0.85,0.0164003,0.0162878
-0.97,-0.84,0.017399,0.0172793
-0.97,-0.83,0.018386,0.018259
-0.97,-0.82,0.0193612,0.0192269
-0.97,-0.81,0.0203245,0.020183
-0.97,-0.8,0.021276,0.0211273
-0.97,-0.79,0.0222157,0.0220598
-0.97,-0.78,0.0231436,0.0229806
-0.97,-0.77,0.0240596,0.0238896
-0.97,-0.76,0.0249638,0.0247868
-0.97,-0.75,0.0258563,0.0256722
-0.97,-0.74,0.0267368,0.0265459
-0.97,-0.73,0.0276056,0.0274077
-0.97,-0.72,0.0284626,0.0282579
-0.97,-0.71,0.0293077,0.0290962
-0.97,-0.7,0.030141,0.0299228
-0.97,-0.69,0.0309625,0.0307376
-0.97,-0.68,0.0317722,0.0315407
-0.97,-0.67,0.03257,0.0323319
-0.97,-0.66,0.033356,0.0331115
-0.97,-0.65,0.0341303,0.0338793
-0.97,-0.64,0.0348926,0.0346353
-0.97,-0.63,0.0356432,0.0353795
-0.97,-0.62,0.036382,0.0361121
-0.97,-0.61,0.0371089,0.0368328
-0.97,-0.6,0.037824,0.0375418
-0.97,-0.59,0.0385273,0.0382391
-0.97,-0.58,0.0392188,0.0389246
-0.97,-0.57,0.0398984,0.0395984
-0.97,-0.56,0.0405662,0.0402604
-0.97,-0.55,0.0412223,0.0409107
-0.97,-0.54,0.0418664,0.0415492
-0.97,-0.53,0.0424988,0.042176
-0.97,-0.52,0.0431194,0.0427911
-0.97,-0.51,0.0437281,0.0433944
-0.97,-0.5,0.044325,0.043986
-0.97,-0.49,0.0449101,0.0445658
-0.97,-0.48,0.0454834,0.0451339
-0.97,-0.47,0.0460448,0.0456903
-0.97,-0.46,0.0465944,0.046235
-0.97,-0.45,0.0471323,0.0467679
-0.97,-0.44,0.0476582,0.0472891
-0.97,-0.43,0.0481724,0.0477985
-0.97,-0.42,0.0486748,0.0482963
-0.97,-0.41,0.0491653,0.0487823
-0.97,-0.4,0.049644,0.0492566
-0.97,-0.39,0.0501109,0.0497191
-0.97,-0.38,0.050566,0.05017
-0.97,-0.37,0.0510092,0.0506091
-0.97,-0.36,0.0514406,0.0510365
-0.97,-0.35,0.0518603,0.0514522
-0.97,-0.34,0.052268,0.0518561
-0.97,-0.33,0.052664,0.0522484
-0.97,-0.32,0.0530482,0.0526289
-0.97,-0.31,0.0534205,0.0529977
-0.97,-0.3,0.053781,0.0533548
-0.97,-0.29,0.0541297,0.0537002
-0.97,-0.28,0.0544666,0.0540339
-0.97,-0.27,0.0547916,0.0543558
-0.97,-0.26,0.0551048,0.0546661
-0.97,-0.25,0.0554063,0.0549646
-0.97,-0.24,0.0556958,0.0552515
-0.97,-0.23,0.0559736,0.0555266
-0.97,-0.22,0.0562396,0.05579
-0.97,-0.21,0.0564937,0.0560417
-0.97,-0.2,0.056736,0.0562817
-0.97,-0.19,0.0569665,0.05651
-0.97,-0.18,0.0571852,0.0567265
-0.97,-0.17,0.057392,0.0569314
-0.97,-0.16,0.057587,0.0571246
-0.97,-0.15,0.0577703,0.057306
-0.97,-0.14,0.0579416,0.0574758
-0.97,-0.13,0.0581012,0.0576338
-0.97,-0.12,0.058249,0.0577802
-0.97,-0.11,0.0583849,0.0579148
-0.97,-0.1,0.058509,0.0580378
-0.97,-0.09,0.0586213,0.058149
-0.97,-0.08,0.0587218,0.0582485
-0.97,-0.07,0.0588104,0.0583363
-0.97,-0.06,0.0588872,0.0584125
-0.97,-0.05,0.0589523,0.0584769
-0.97,-0.04,0.0590054,0.0585296
-0.97,-0.03,0.0590468,0.0585706
-0.97,-0.02,0.0590764,0.0585999
-0.97,-0.01,0.0590941,0.0586176
-0.97,0,0.0591,0.0586235
-0.97,0.01,0.0590941,0.0586177
-0.97,0.02,0.0590764,0.0586002
-0.97,0.03,0.0590468,0.058571
-0.97,0.04,0.0590054,0.0585301
-0.97,0.05,0.0589523,0.0584775
-0.97,0.06,0.0588872,0.0584132
-0.97,0.07,0.0588104,0.0583372
-0.97,0.08,0.0587218,0.0582494
-0.97,0.09,0.0586213,0.05815
-0.97,0.1,0.058509,0.0580389
-0.97,0.11,0.0583849,0.0579161
-0.97,0.12,0.058249,0.0577816
-0.97,0.13,0.0581012,0.0576353
-0.97,0.14,0.0579416,0.0574774
-0.97,0.15,0.0577703,0.0573077
-0.97,0.16,0.057587,0.0571264
-0.97,0.17,0.057392,0.0569333
-0.97,0.18,0.0571852,0.0567286
-0.97,0.19,0.0569665,0.0565121
-0.97,0.2,0.056736,0.0562839
-0.97,0.21,0.0564937,0.056044
-0.97,0.22,0.0562396,0.0557924
-0.97,0.23,0.0559736,0.0555291
-0.97,0.24,0.0556958,0.0552541
