x,y,Analytical solution,Numerical solution
-0.804878,-0.804878,0.124025,0.123118
-0.804878,-0.756098,0.150841,0.149714
-0.804878,-0.707317,0.175981,0.174647
-0.804878,-0.658537,0.199445,0.197905
-0.804878,-0.609756,0.221233,0.219504
-0.804878,-0.560976,0.241345,0.239428
-0.804878,-0.512195,0.259781,0.257697
-0.804878,-0.463415,0.276541,0.274291
-0.804878,-0.414634,0.291625,0.289235
-0.804878,-0.365854,0.305034,0.302504
-0.804878,-0.317073,0.316766,0.314125
-0.804878,-0.268293,0.326822,0.324071
-0.804878,-0.219512,0.335202,0.332373
-0.804878,-0.170732,0.341906,0.338999
-0.804878,-0.121951,0.346934,0.343983
-0.804878,-0.0731708,0.350286,0.347292
-0.804878,-0.0243903,0.351962,0.348959
-0.804878,0.0243902,0.351962,0.34895
-0.804878,0.0731707,0.350286,0.3473
-0.804878,0.121951,0.346934,0.343975
-0.804878,0.170732,0.341906,0.339008
-0.804878,0.219512,0.335202,0.332365
-0.804878,0.268293,0.326822,0.324079
-0.804878,0.317073,0.316766,0.314118
-0.804878,0.365854,0.305034,0.302511
-0.804878,0.414634,0.291626,0.289228
-0.804878,0.463415,0.276541,0.274298
-0.804878,0.512195,0.259781,0.257691
-0.804878,0.560976,0.241345,0.239433
-0.804878,0.609756,0.221233,0.219499
-0.804878,0.658537,0.199445,0.197909
-0.804878,0.707317,0.175981,0.174643
-0.804878,0.756098,0.150841,0.149717
-0.804878,0.804878,0.124025,0.123115
-0.804878,0.853658,0.0955326,0.0948477
-0.804878,0.902439,0.0653644,0.0649042
-0.804878,0.951219,0.0335202,0.0332901
-0.756098,-0.951219,0.0407678,0.0404828
-0.756098,-0.902439,0.0794972,0.0789271
-0.756098,-0.853659,0.116188,0.11534
-0.756098,-0.804878,0.150841,0.149714
-0.756098,-0.756098,0.183455,0.182063
-0.756098,-0.707317,0.214031,0.212374
-0.756098,-0.658537,0.242568,0.240666
-0.756098,-0.609756,0.269067,0.266919
-0.756098,-0.560976,0.293528,0.291159
-0.756098,-0.512195,0.31595,0.313361
-0.756098,-0.463415,0.336334,0.333554
-0.756098,-0.414634,0.35468,0.35171
-0.756098,-0.365854,0.370987,0.367862
-0.756098,-0.317073,0.385256,0.381975
-0.756098,-0.268293,0.397486,0.394088
-0.756098,-0.219512,0.407678,0.404163
-0.756098,-0.170732,0.415831,0.412241
-0.756098,-0.121951,0.421947,0.41828
-0.756098,-0.0731708,0.426023,0.422324
-0.756098,-0.0243903,0.428062,0.42433
-0.756098,0.0243902,0.428062,0.424341
-0.756098,0.0731707,0.426023,0.422314
-0.756098,0.121951,0.421947,0.418291
-0.756098,0.170732,0.415831,0.41223
-0.756098,0.219512,0.407678,0.404174
-0.756098,0.268293,0.397486,0.394078
-0.756098,0.317073,0.385256,0.381984
-0.756098,0.365854,0.370987,0.367852
-0.756098,0.414634,0.35468,0.351719
-0.756098,0.463415,0.336334,0.333546
-0.756098,0.512195,0.31595,0.313368
-0.756098,0.560976,0.293528,0.291152
-0.756098,0.609756,0.269067,0.266925
-0.756098,0.658537,0.242568,0.24066
-0.756098,0.707317,0.214031,0.212379
-0.756098,0.756098,0.183455,0.182059
-0.756098,0.804878,0.150841,0.149717
-0.756098,0.853658,0.116188,0.115337
-0.756098,0.902439,0.0794972,0.0789288
-0.756098,0.951219,0.0407678,0.0404819
-0.707317,-0.951219,0.0475624,0.0472231
-0.707317,-0.902439,0.0927467,0.092072
-0.707317,-0.853659,0.135553,0.134543
-0.707317,-0.804878,0.175981,0.174647
-0.707317,-0.756098,0.214031,0.212374
-0.707317,-0.707317,0.249703,0.247742
-0.707317,-0.658537,0.282996,0.280731
-0.707317,-0.609756,0.313912,0.311369
-0.707317,-0.560976,0.342449,0.339629
-0.707317,-0.512195,0.368609,0.365544
-0.707317,-0.463415,0.39239,0.389081
-0.707317,-0.414634,0.413793,0.410278
-0.707317,-0.365854,0.432818,0.429097
-0.707317,-0.317073,0.449465,0.445582
-0.707317,-0.268293,0.463733,0.459689
-0.707317,-0.219512,0.475624,0.471465
-0.707317,-0.170732,0.485137,0.480862
-0.707317,-0.121951,0.492271,0.487932
-0.707317,-0.0731708,0.497027,0.492624
-0.707317,-0.0243903,0.499405,0.494989
-0.707317,0.0243902,0.499405,0.494976
-0.707317,0.0731707,0.497027,0.492637
-0.707317,0.121951,0.492271,0.487919
-0.707317,0.170732,0.485137,0.480875
-0.707317,0.219512,0.475624,0.471452
-0.707317,0.268293,0.463733,0.459701
-0.707317,0.317073,0.449465,0.445571
-0.707317,0.365854,0.432818,0.429108
-0.707317,0.414634,0.413793,0.410268
-0.707317,0.463415,0.39239,0.38909
-0.707317,0.512195,0.368609,0.365535
-0.707317,0.560976,0.342449,0.339637
-0.707317,0.609756,0.313912,0.311362
-0.707317,0.658537,0.282996,0.280738
-0.707317,0.707317,0.249703,0.247736
-0.707317,0.756098,0.214031,0.212379
-0.707317,0.804878,0.175981,0.174643
-0.707317,0.853658,0.135553,0.134546
-0.707317,0.902439,0.0927467,0.0920701
-0.707317,0.951219,0.0475625,0.0472241
-0.658537,-0.951219,0.0539041,0.0535144
-0.658537,-0.902439,0.105113,0.104334
-0.658537,-0.853659,0.153627,0.152467
-0.658537,-0.804878,0.199445,0.197905
-0.658537,-0.756098,0.242568,0.240666
-0.658537,-0.707317,0.282996,0.280731
-0.658537,-0.658537,0.320729,0.318128
-0.658537,-0.609756,0.355767,0.35283
-0.658537,-0.560976,0.388109,0.384871
-0.658537,-0.512195,0.417756,0.414217
-0.658537,-0.463415,0.444708,0.440909
-0.658537,-0.414634,0.468965,0.464905
-0.658537,-0.365854,0.490527,0.486255
-0.658537,-0.317073,0.509393,0.504909
-0.658537,-0.268293,0.525565,0.52092
-0.658537,-0.219512,0.539041,0.534236
-0.658537,-0.170732,0.549821,0.544913
-0.658537,-0.121951,0.557907,0.552895
-0.658537,-0.0731708,0.563297,0.558241
-0.658537,-0.0243903,0.565993,0.560891
-0.658537,0.0243902,0.565993,0.560906
-0.658537,0.0731707,0.563297,0.558226
-0.658537,0.121951,0.557907,0.55291
-0.658537,0.170732,0.549821,0.544899
-0.658537,0.219512,0.539041,0.53425
-0.658537,0.268293,0.525565,0.520906
-0.658537,0.317073,0.509393,0.504922
-0.658537,0.365854,0.490527,0.486242
-0.658537,0.414634,0.468965,0.464917
-0.658537,0.463415,0.444709,0.440897
-0.658537,0.512195,0.417756,0.414227
-0.658537,0.560976,0.388109,0.384861
-0.658537,0.609756,0.355767,0.352838
-0.658537,0.658537,0.320729,0.31812
-0.658537,0.707317,0.282996,0.280738
-0.658537,0.756098,0.242568,0.24066
-0.658537,0.804878,0.199445,0.197909
-0.658537,0.853658,0.153627,0.152463
-0.658537,0.902439,0.105113,0.104336
-0.658537,0.951219,0.0539041,0.0535133
-0.609756,-0.951219,0.0597928,0.0593528
-0.609756,-0.902439,0.116596,0.115721
-0.609756,-0.853659,0.170409,0.1691
-0.609756,-0.804878,0.221233,0.219504
-0.609756,-0.756098,0.269067,0.266919
-0.609756,-0.707317,0.313912,0.311369
-0.609756,-0.658537,0.355767,0.35283
-0.609756,-0.609756,0.394632,0.391335
-0.609756,-0.560976,0.430508,0.426851
-0.609756,-0.512195,0.463394,0.45942
-0.609756,-0.463415,0.49329,0.488999
-0.609756,-0.414634,0.520197,0.515639
-0.609756,-0.365854,0.544114,0.53929
-0.609756,-0.317073,0.565041,0.560007
-0.609756,-0.268293,0.582979,0.577735
-0.609756,-0.219512,0.597927,0.592534
-0.609756,-0.170732,0.609886,0.604344
-0.609756,-0.121951,0.618855,0.613229
-0.609756,-0.0731708,0.624834,0.619125
-0.609756,-0.0243903,0.627824,0.622098
-0.609756,0.0243902,0.627824,0.622081
-0.609756,0.0731707,0.624834,0.619142
-0.609756,0.121951,0.618855,0.613213
-0.609756,0.170732,0.609886,0.60436
-0.609756,0.219512,0.597927,0.592518
-0.609756,0.268293,0.582979,0.57775
-0.609756,0.317073,0.565041,0.559992
-0.609756,0.365854,0.544114,0.539304
-0.609756,0.414634,0.520197,0.515626
-0.609756,0.463415,0.49329,0.489012
-0.609756,0.512195,0.463394,0.459408
-0.609756,0.560976,0.430508,0.426862
-0.609756,0.609756,0.394632,0.391326
-0.609756,0.658537,0.355767,0.352838
-0.609756,0.707317,0.313912,0.311362
-0.609756,0.756098,0.269067,0.266925
-0.609756,0.804878,0.221233,0.219499
-0.609756,0.853658,0.170409,0.169104
-0.609756,0.902439,0.116596,0.115719
-0.609756,0.951219,0.0597928,0.0593541
-0.560976,-0.951219,0.0652285,0.0647433
-0.560976,-0.902439,0.127196,0.126225
-0.560976,-0.853659,0.185901,0.184457
-0.560976,-0.804878,0.241345,0.239428
-0.560976,-0.756098,0.293528,0.291159
-0.560976,-0.707317,0.342449,0.339629
-0.560976,-0.658537,0.388109,0.384871
-0.560976,-0.609756,0.430508,0.426851
-0.560976,-0.560976,0.469645,0.465613
-0.560976,-0.512195,0.50552,0.501113
-0.560976,-0.463415,0.538135,0.533404
-0.560976,-0.414634,0.567487,0.562433
-0.560976,-0.365854,0.593579,0.58826
-0.560976,-0.317073,0.616409,0.610825
-0.560976,-0.268293,0.635977,0.630195
-0.560976,-0.219512,0.652284,0.646303
-0.560976,-0.170732,0.66533,0.659219
-0.560976,-0.121951,0.675114,0.668875
-0.560976,-0.0731708,0.681637,0.675342
-0.560976,-0.0243903,0.684899,0.678547
-0.560976,0.0243902,0.684899,0.678566
-0.560976,0.0731707,0.681637,0.675323
-0.560976,0.121951,0.675114,0.668893
-0.560976,0.170732,0.66533,0.659201
-0.560976,0.219512,0.652284,0.64632
-0.560976,0.268293,0.635977,0.630178
-0.560976,0.317073,0.616409,0.610841
-0.560976,0.365854,0.593579,0.588244
-0.560976,0.414634,0.567488,0.562448
-0.560976,0.463415,0.538135,0.53339
-0.560976,0.512195,0.50552,0.501126
-0.560976,0.560976,0.469645,0.465601
-0.560976,0.609756,0.430508,0.426862
-0.560976,0.658537,0.388109,0.384861
-0.560976,0.707317,0.342449,0.339637
-0.560976,0.756098,0.293528,0.291152
-0.560976,0.804878,0.241345,0.239433
-0.560976,0.853658,0.185901,0.184453
-0.560976,0.902439,0.127196,0.126228
-0.560976,0.951219,0.0652285,0.0647419
-0.512195,-0.951219,0.0702112,0.0696809
-0.512195,-0.902439,0.136912,0.135857
-0.512195,-0.853659,0.200102,0.198523
-0.512195,-0.804878,0.259781,0.257697
-0.512195,-0.756098,0.31595,0.313361
-0.512195,-0.707317,0.368609,0.365544
-0.512195,-0.658537,0.417756,0.414217
-0.512195,-0.609756,0.463394,0.45942
