x,y,Analytical solution,Numerical solution
-0.98995,0.949749,0.00195949,0.0019595
-0.98995,0.959799,0.00157568,0.00157568
-0.98995,0.969849,0.00118782,0.00118782
-0.98995,0.9799,0.000795917,0.000795919
-0.98995,0.98995,0.000399981,0.00039998
-0.9799,-0.98995,0.000795917,0.000795919
-0.9799,-0.9799,0.00158379,0.0015838
-0.9799,-0.969849,0.00236364,0.00236364
-0.9799,-0.959799,0.00313544,0.00313544
-0.9799,-0.949749,0.00389919,0.0038992
-0.9799,-0.939699,0.00465491,0.00465492
-0.9799,-0.929648,0.0054026,0.0054026
-0.9799,-0.919598,0.00614224,0.00614225
-0.9799,-0.909548,0.00687384,0.00687385
-0.9799,-0.899498,0.0075974,0.00759741
-0.9799,-0.889447,0.00831293,0.00831294
-0.9799,-0.879397,0.00902041,0.00902042
-0.9799,-0.869347,0.00971985,0.00971986
-0.9799,-0.859297,0.0104113,0.0104113
-0.9799,-0.849246,0.0110946,0.0110946
-0.9799,-0.839196,0.0117699,0.01177
-0.9799,-0.829146,0.0124372,0.0124372
-0.9799,-0.819095,0.0130965,0.0130965
-0.9799,-0.809045,0.0137477,0.0137477
-0.9799,-0.798995,0.0143908,0.0143909
-0.9799,-0.788945,0.015026,0.015026
-0.9799,-0.778894,0.0156531,0.0156531
-0.9799,-0.768844,0.0162721,0.0162721
-0.9799,-0.758794,0.0168831,0.0168831
-0.9799,-0.748744,0.0174861,0.0174861
-0.9799,-0.738693,0.018081,0.018081
-0.9799,-0.728643,0.0186679,0.0186679
-0.9799,-0.718593,0.0192467,0.0192468
-0.9799,-0.708543,0.0198176,0.0198176
-0.9799,-0.698492,0.0203803,0.0203804
-0.9799,-0.688442,0.0209351,0.0209351
-0.9799,-0.678392,0.0214818,0.0214818
-0.9799,-0.668342,0.0220204,0.0220204
-0.9799,-0.658291,0.022551,0.022551
-0.9799,-0.648241,0.0230736,0.0230736
-0.9799,-0.638191,0.0235881,0.0235882
-0.9799,-0.628141,0.0240946,0.0240946
-0.9799,-0.61809,0.0245931,0.0245931
-0.9799,-0.60804,0.0250835,0.0250835
-0.9799,-0.59799,0.0255659,0.0255659
-0.9799,-0.58794,0.0260402,0.0260402
-0.9799,-0.577889,0.0265065,0.0265065
-0.9799,-0.567839,0.0269647,0.0269648
-0.9799,-0.557789,0.027415,0.027415
-0.9799,-0.547739,0.0278571,0.0278572
-0.9799,-0.537688,0.0282913,0.0282913
-0.9799,-0.527638,0.0287174,0.0287174
