epoch,loss
0,4834.32
1,4812.99
2,3294.2
3,3108.02
4,3076.64
5,3017.03
6,2856.71
7,2858.02
8,2577.49
9,2559.7
10,2363.83
11,2355.29
12,2253.97
13,2238.59
14,2127.65
15,1846.51
16,1801.51
17,1788.27
18,1776.39
19,1670.12
20,1642.72
21,1575.65
22,1542.09
23,1534.64
24,1249.55
25,1231.01
26,1115
27,1115
28,893.274
29,792.608
30,760.329
31,745.734
32,744.16
33,709.348
34,707.614
35,707.193
36,704.554
37,643.145
38,643.085
39,399.705
40,399.13
41,377.161
42,308.366
43,307.43
44,236.689
45,220.226
46,205.412
47,205.356
48,205.278
49,160.628
50,159.737
51,156.878
52,147.642
53,146.052
54,139.754
55,130.46
56,130.227
57,123.937
58,80.5557
59,76.617
60,74.7564
61,72.1501
62,71.4561
63,62.691
64,40.1369
65,40.092
66,36.5735
67,36.5954
68,32.7983
69,32.842
70,32.6651
71,30.5937
72,30.6023
73,30.5965
74,30.539
75,23.1558
76,21.2695
77,18.4485
78,18.0871
79,17.9195
80,16.3241
81,15.8177
82,15.6758
83,15.2535
84,12.831
85,12.8209
86,12.6509
87,12.6401
88,12.6486
89,11.6978
90,9.02471
91,9.03051
92,8.62951
93,8.54377
94,8.53658
95,8.40455
96,8.42093
97,8.33775
98,7.71933
99,6.87233
100,6.85756
101,6.50987
102,6.50349
103,6.16762
104,6.17211
105,6.12366
106,6.11955
107,6.12688
108,5.94425
109,5.57505
110,5.54714
111,5.5386
112,5.48705
113,5.20049
114,5.14985
115,4.91048
116,4.92604
117,4.53651
118,4.53654
119,4.3564
120,4.34196
121,4.31328
122,4.28226
123,4.25074
124,3.79765
125,3.15417
126,3.15218
127,3.16416
128,3.17019
129,3.18463
130,3.16248
131,2.96305
132,2.92329
133,2.9235
134,2.93683
135,2.67669
136,2.4229
137,2.45692
138,2.39563
139,2.32129
140,2.32714
141,2.28831
142,2.2262
143,2.20678
144,2.20303
145,2.07543
146,1.90312
147,1.66449
148,1.66042
149,1.52349
150,1.54575
151,1.50776
152,1.46904
153,1.46457
154,1.45417
155,1.45724
156,1.45061
157,1.45063
158,1.34409
159,1.3385
160,1.33543
161,1.33596
162,1.23213
163,1.24341
164,1.22544
165,1.24119
166,1.2399
167,1.23418
168,1.24948
169,1.27618
170,1.24629
171,1.24622
172,1.25285
173,1.25194
174,1.22175
175,1.21805
176,1.24051
177,1.24205
178,1.21091
179,1.18031
180,1.17145
181,1.17091
182,1.13186
183,1.09363
184,1.11088
185,1.11727
186,1.13267
187,1.12065
188,1.1245
189,1.12626
190,1.0949
191,1.09432
192,1.06728
193,1.06687
194,1.10456
195,1.13251
196,1.11602
197,1.11632
198,1.11254
199,1.13306
200,1.14693
201,1.19098
202,1.19202
203,1.21139
204,1.21939
205,1.21532
206,1.21522
207,1.21522
208,1.16157
209,1.15494
210,1.15518
211,1.15604
212,1.16633
213,1.15233
214,1.1577
215,1.15231
216,1.1568
217,1.14769
218,1.14359
219,1.08346
220,1.06748
221,1.08933
222,1.10645
223,1.11333
224,1.11564
225,1.13942
226,1.12503
227,1.13417
228,1.13173
229,1.12825
230,1.11015
231,1.1108
232,1.107
233,1.11275
234,1.11496
235,1.10923
236,1.1178
237,1.11791
238,1.10808
239,1.11565
240,1.12578
241,1.16459
242,1.16971
243,1.12622
244,1.10404
245,1.09883
246,1.09741
247,1.09573
248,1.11471
249,1.11202
250,1.1108
251,1.08887
252,1.13354
253,1.13644
254,1.03439
255,0.996551
256,0.996575
257,0.988675
258,0.974888
259,0.979975
260,1.01716
261,1.05667
262,1.0639
263,1.06378
264,1.01044
265,0.982229
266,1.02726
267,1.01126
268,0.994044
269,0.992902
270,1.02264
271,1.01079
272,1.01486
273,1.01328
274,1.03844
275,1.15853
276,1.15637
277,1.16233
278,1.12197
279,1.13017
280,1.14072
281,1.12934
282,1.12572
283,1.11787
284,1.11216
285,1.10381
286,1.11682
287,1.09965
288,1.10132
289,1.07245
290,1.04886
291,1.05311
292,1.04707
293,1.03428
294,1.03437
295,1.01855
296,1.01963
297,0.993754
298,0.993357
299,0.99309
300,1.01376
301,0.988611
302,1.00692
303,1.00938
304,0.999016
305,1.0017
306,1.04496
307,1.05836
308,1.03886
309,1.03021
310,1.05437
311,1.05623
312,1.1234
313,1.12321
314,1.12414
315,1.15457
316,1.16714
317,1.16472
318,1.09681
319,1.14556
320,1.11743
321,1.11525
322,1.11417
323,1.06921
324,1.03123
325,1.04404
326,1.02452
327,1.02386
328,1.02384
329,1.03778
330,1.05149
331,1.02408
332,1.05775
333,1.06038
334,1.00533
335,0.992413
336,0.992237
337,0.98896
338,0.998543
339,0.999222
340,0.986917
341,0.98689
342,0.93744
343,0.954072
344,0.929384
345,0.941815
346,0.942078
347,0.91024
348,0.90434
349,0.88908
350,0.889817
351,0.888281
352,0.882214
353,0.887252
354,0.893834
355,0.88678
356,0.883947
357,0.88293
358,0.888486
359,0.905941
360,0.903688
361,0.903637
362,0.901429
363,0.917762
364,0.918039
365,0.923155
366,0.900038
367,0.898031
368,0.937776
369,0.941683
370,0.956591
371,0.966003
372,0.966508
373,0.970081
374,0.958188
375,0.946099
376,0.933843
377,0.934864
378,0.927894
379,0.947141
380,0.944588
381,0.94457
382,0.957477
383,0.973157
384,0.993045
385,0.972621
386,0.988343
387,0.99287
388,0.993617
389,0.989904
390,0.928611
391,0.931133
392,0.918397
393,0.929385
394,0.956264
395,0.930918
396,0.92694
397,0.913351
398,0.889895
399,0.864903
400,0.855779
401,0.860878
402,0.861141
403,0.85453
404,0.856947
405,0.858585
406,0.858025
407,0.861322
408,0.858149
409,0.845377
410,0.84135
411,0.842866
412,0.838877
413,0.838317
414,0.836722
415,0.807796
416,0.805799
417,0.808662
418,0.800651
419,0.806385
420,0.827981
421,0.8272
422,0.823435
423,0.814415
424,0.816433
425,0.823719
426,0.830162
427,0.837159
428,0.825831
429,0.824109
430,0.825321
431,0.842786
432,0.836947
433,0.857034
434,0.833171
435,0.828318
436,0.833433
437,0.843083
438,0.850423
439,0.839659
440,0.838017
441,0.833636
442,0.828802
443,0.822267
444,0.82195
445,0.828549
446,0.853063
447,0.850419
448,0.871174
449,0.903873
450,0.900738
451,0.895306
452,0.868629
453,0.866982
454,0.87315
455,0.87133
456,0.912871
457,0.90988
458,0.903972
459,0.898474
460,0.848156
461,0.847955
462,0.84781
463,0.810415
464,0.809962
465,0.818514
466,0.812
467,0.799968
468,0.796758
469,0.79773
470,0.806141
471,0.810666
472,0.813793
473,0.817339
474,0.815696
475,0.809276
476,0.809303
477,0.809941
478,0.811573
479,0.80792
480,0.806716
481,0.80653
482,0.817466
483,0.806136
484,0.800895
485,0.802744
486,0.79117
487,0.81819
488,0.827241
489,0.826481
490,0.842978
491,0.84246
492,0.829573
493,0.824876
494,0.799682
495,0.801633
496,0.800982
497,0.793033
498,0.788351
499,0.786672
500,0.776561
501,0.784007
502,0.78441
503,0.759524
504,0.759729
505,0.762164
506,0.764835
507,0.793147
508,0.823599
509,0.822306
510,0.829944
511,0.840204
512,0.839331
513,0.819535
514,0.822363
515,0.837271
516,0.846772
517,0.85083
518,0.898815
519,0.85799
520,0.856455
521,0.903766
522,0.896125
523,0.890269
524,0.884661
525,0.870571
526,0.880497
527,0.875781
528,0.874022
529,0.884976
530,0.893348
531,0.897577
532,0.879997
533,0.901421
534,0.918115
535,0.853763
536,0.853508
537,0.854665
538,0.855845
539,0.854769
540,0.873653
541,0.867786
542,0.865779
543,0.868909
544,0.868975
545,0.868381
546,0.902189
547,0.921693
548,0.862802
549,0.862909
550,0.882679
551,0.886064
552,0.857734
553,0.864241
554,0.84282
555,0.836002
556,0.835528
557,0.81209
558,0.845499
559,0.867954
560,0.916312
561,0.921233
562,0.899708
563,0.907885
564,0.876524
565,0.881175
566,0.891971
567,0.862249
568,0.854681
569,0.885642
570,0.893831
571,0.801727
572,0.82776
